address,topics,data,blockNumber,blockHash,timeStamp,gasPrice,gasUsed,logIndex,transactionHash,transactionIndex
0x04d572734006788b646ce35b133bdf7160f79995,"['0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef', '0x0000000000000000000000000000000000000000000000000000000000000000', '0x0000000000000000000000006d46b37708da7ed4e5c4509495768fecd3d17c01', '0x0000000000000000000000000000000000000000000000000000000000000001']",0x,0xdfa71b,0x1833352e830d8edb53fb16d67282a397f037da120132df1c8d0d725ab60f91c0,0x62674e2d,0xaa356cf68,0x5f5c7,0xc6,0xb0f6ccaf7df563bf836445ce90750b6ae3f6a3368896bbb6dd630895772da763,0x4a
0x04d572734006788b646ce35b133bdf7160f79995,"['0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef', '0x0000000000000000000000000000000000000000000000000000000000000000', '0x0000000000000000000000000a2e95eba92c86b617c36a8a73d3913f279f1cde', '0x0000000000000000000000000000000000000000000000000000000000000002']",0x,0xe09cde,0xcc97239921bc7940cdc1d0193e6b2c237d941ed65e7a91548d352af950bd253b,0x627462f7,0x9f32a2f36,0x5137e,0x9,0x91cd7c55f74a41b5de4db9690123110b0b3ca27ec024f741ecf2c59f62b03eb5,0x5
0x04d572734006788b646ce35b133bdf7160f79995,"['0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef', '0x0000000000000000000000000000000000000000000000000000000000000000', '0x000000000000000000000000ced706833461a6f84dd9246212bbe653f72d83f8', '0x0000000000000000000000000000000000000000000000000000000000000003']",0x,0xe09ee4,0xb1e7e78d613bfe0b13ccd2137563a577deb9bf0e4bdd0891eebf2c203318335b,0x62747f76,0x67b0a675f,0x451ee,0x59,0x164380394b7c88f5a2a7cbf66bf3db16c20584e0e4b12300394f22dc512ca619,0x2c
0x04d572734006788b646ce35b133bdf7160f79995,"['0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef', '0x0000000000000000000000000000000000000000000000000000000000000000', '0x000000000000000000000000ced706833461a6f84dd9246212bbe653f72d83f8', '0x0000000000000000000000000000000000000000000000000000000000000004']",0x,0xe09ef7,0x942f3185a1c9ddc7c930992538dfe72082e38a3f4f66ed00658eb5a63f9c64c8,0x62748042,0x6c50cd620,0x52d63,0xd,0x93a25b676ef7f0ba9c8ea95f9d02d6f0d027d8d09101b11c77070fe1af7d1280,0x8
0x04d572734006788b646ce35b133bdf7160f79995,"['0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef', '0x0000000000000000000000000000000000000000000000000000000000000000', '0x000000000000000000000000ced706833461a6f84dd9246212bbe653f72d83f8', '0x0000000000000000000000000000000000000000000000000000000000000005']",0x,0xe09f4d,0x84143188798dbea844045a05d7df2d310440929ac190bded9a012b678e8f806f,0x6274848c,0x76fff9380,0x52d63,0xc4,0x238dd4bf551dca51ce923593655ed6261cf38f90611e610ff2719d1e127c0fcd,0x79
0x04d572734006788b646ce35b133bdf7160f79995,"['0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef', '0x0000000000000000000000000000000000000000000000000000000000000000', '0x000000000000000000000000ced706833461a6f84dd9246212bbe653f72d83f8', '0x0000000000000000000000000000000000000000000000000000000000000006']",0x,0xe0bab2,0xf9c850d1492e2f86187a3b93f0fd1ec6597dfd1d14f98f76e6e11d923a4b97e0,0x6275fe02,0xdc75d06ba,0x40f22,0x29,0xb841b7734cf3387ac0f8b9cd9b5606717422ca20fa9a9792cfb4458f178c506e,0x3a
0x04d572734006788b646ce35b133bdf7160f79995,"['0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef', '0x0000000000000000000000000000000000000000000000000000000000000000', '0x000000000000000000000000ced706833461a6f84dd9246212bbe653f72d83f8', '0x0000000000000000000000000000000000000000000000000000000000000007']",0x,0xe0c935,0xa08a768836d233f25200a5a033a5cede84db13d090bceadc0942947daf0a9741,0x6276c34e,0x70c2bd639,0x52d63,0x89,0xb58e61fec448a66e7cdccb12c1a4564e81c020ff25b091069d5feb95dfc5c2f9,0x4f
0x04d572734006788b646ce35b133bdf7160f79995,"['0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef', '0x0000000000000000000000000000000000000000000000000000000000000000', '0x000000000000000000000000ced706833461a6f84dd9246212bbe653f72d83f8', '0x0000000000000000000000000000000000000000000000000000000000000008']",0x,0xe1ada5,0xd5447f12f3d62b2405131e613bbc15a083234e6a2b01239e0dbc9b8c9ee6f926,0x628310cb,0x8d001c58d,0x52d63,0x15,0x7a2c8113f77903e5b8b500a5feecf1271b960f67724b71a7907a3b7c68d1d528,0x2f
0x04d572734006788b646ce35b133bdf7160f79995,"['0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef', '0x0000000000000000000000000000000000000000000000000000000000000000', '0x000000000000000000000000ced706833461a6f84dd9246212bbe653f72d83f8', '0x0000000000000000000000000000000000000000000000000000000000000009']",0x,0xe1adb6,0xa1453aff0f2782f3cb86b670bc28c7aded991c5b46b6829fa9b4e43714398f43,0x62831149,0x53eba9236,0x52d63,0x160,0x1c1a79c1fa7685af21a7b822dc2ede4d95b421f93e1c4627d5507f7caa4b3040,0xff
0x04d572734006788b646ce35b133bdf7160f79995,"['0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef', '0x0000000000000000000000000000000000000000000000000000000000000000', '0x000000000000000000000000ddf0cebc3b259420280371337b11f6fabdddf2f0', '0x000000000000000000000000000000000000000000000000000000000000000a']",0x,0xe20935,0xe1bf0d8b6aca3d352b3653bc282ea13f89afa205bff86a2c04a1725e7b73f4fc,0x62880c95,0x5d1fed32b,0x451ee,0x157,0x4d02b3700b1798844d7b6cc912d8743f817ab887c6cab5fef4b5951647864a3c,0x68
